nome,endereco,latitude,longitude,cidade
Canoas Shopping,"Av. Guilherme Schell, 6750 - Centro, Canoas",-29.9110603,-51.1821541,Porto Alegre
Bourbon Shopping Assis Brasil,"Av. Assis Brasil, 164 - São João, Porto Alegre",-30.0062468,-51.1842183,Porto Alegre
Shopping Total,"Av. Cristóvão Colombo, 545 - prédio 7 - Independência, Porto Alegre",-30.0264841,-51.2116208,Porto Alegre
Shopping João Pessoa,"Av. João Pessoa, 1831 - Farroupilha, Porto Alegre",-30.0456868,-51.2132881,Porto Alegre
Bourbon Shopping Country,"Av. Túlio de Rose, 80 - Passo d'Areia, Porto Alegre",-30.0218087,-51.1625287,Porto Alegre
ParkShopping Canoas,"Av. Farroupilha, 4545 - Mal. Rondon, Canoas",-29.9157533,-51.16484519999999,Porto Alegre
Bourbon Shopping São Leopoldo,"R. Primeiro de Março, 821 - Centro, São Leopoldo",-29.7693473,-51.1459485,Porto Alegre
Moinhos Shopping,"R. Olávo Barreto Viana, 36 - Moinhos de Vento, Porto Alegre",-30.0233231,-51.201122,Porto Alegre
Viva Open Mall,"Av. Dr. Nilo Peçanha, 3228 - Chácara das Pedras, Porto Alegre",-30.0282326,-51.1579399,Porto Alegre
Bourbon Shopping Novo Hamburgo,"Av. Nações Unidas, 2001 - Rio Branco, Novo Hamburgo",-29.6859183,-51.1340618,Porto Alegre
Rua da Praia Shopping,"R. dos Andradas, 1001 - Centro Histórico, Porto Alegre",-30.0306671,-51.2315789,Porto Alegre
Pontal Shopping,"Av. Padre Cacique, 2893 - Cristal, Porto Alegre",-30.0801445,-51.2473158,Porto Alegre
DC Shopping,"R. Frederico Mentz, 1561, R. Voluntários da Pátria, 4389 - Navegantes, Porto Alegre",-29.9953756,-51.2044442,Porto Alegre
Boulevard Shopping Belém,"Av. Visc. de Souza Franco, 776 - Reduto, Belém",-1.445746,-48.48905569999999,Ananindeua
Shopping Bosque Grão-Pará,"Av. Centenário, 1052 - Mangueirão, Belém",-1.3902486,-48.4650835,Ananindeua
Shopping Pátio Belém,"Tv. Padre Eutíquio, 1078 - Batista Campos, Belém",-1.4578538,-48.49465379999999,Ananindeua
Castanheira Mall,"BR-316, Km 01 - Castanheira, Belém",-1.403391,-48.4305277,Ananindeua
Metrópole Ananindeua Mall,"Rodovia BR 316, nº 4.500, Km 04 - Coqueiro, Ananindeua",-1.3854989,-48.4093577,Ananindeua
Small Shopping,"Av. Cmte. Brás de Aguiar, 451 - Batista Campos, Belém",-1.4545791,-48.4879031,Ananindeua
Center Shopping,"Tv. Padre Eutíquio, 281 - Comércio, Belém",-1.4531633,-48.5005137,Ananindeua
Shopping Center Popular João Alfredo,"R. Conselheiro João Alfredo, 236 - Campina, Belém",-1.4524992,-48.501212,Ananindeua
Gritt-Shopping Iguatemi,"Tv. Padre Eutíquio, 1078 - Campina, Belém",-1.4578588,-48.4951482,Belém
Smart Mall,"Tv. Humaitá, 1377 - Pedreira, Belém",-1.4358183,-48.47064109999999,Ananindeua
